11008 13 13 0.0 0.0 26.2 0.0023412 0.0416109 1.9154452 -0.005314 0.0001309 0.0011661 0.0003449 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
11136 13 13 0.0 0.0 26.29 0.002109 0.0380969 1.8468646 -0.0078208 0.0001224 0.0012793 0.0003429 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
11264 14 14 0.0 0.0 26.28 0.002077 0.0377344 1.8845129 -0.0013279 0.0001219 0.0009359 0.0002578 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
11392 14 14 0.0 0.0 26.22 0.002033 0.0360661 1.8633232 -0.0058086 0.000172 0.0012382 0.0007611 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
11520 14 14 0.0 0.0 26.19 0.0022775 0.0369423 1.7531249 -0.0008468 0.0001287 0.0009012 0.0002653 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
11648 14 14 0.0 0.0 26.2 0.0021391 0.0381975 1.7646175 -0.0074075 0.0001785 0.0013023 0.0004783 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
11776 14 14 0.0 0.0 26.21 0.0025206 0.0371121 1.8550068 -0.0054108 0.0001869 0.0012636 0.0002649 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
11904 14 14 0.0 0.0 26.17 0.0024539 0.038999 2.1732527 -0.0081644 0.000197 0.0014575 0.0004758 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
12032 14 14 0.0 0.0 26.21 0.002075 0.0374683 2.1214195 2.45e-05 0.0001786 0.0009573 0.000231 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
12160 14 14 0.0 0.0 26.13 0.0021075 0.0384097 2.0480084 -0.0031608 0.0001438 0.0011026 0.0002583 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
12288 15 15 0.0 0.0 26.11 0.0021635 0.036175 2.2268498 -0.003513 0.0001491 0.001117 0.0002328 0.0 0.0 0.0  {'prev_level_seed': 1561126160, 'prev_level_complete': 0, 'level_seed': 1561126160, 'raw_score': 0.0, 'normalised_score': 0.0} 
