8704 15 15 0.0 0.0 24.12 0.0018563 0.2792698 33.1019886 0.4602363 0.1992453  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
8832 16 16 0.0 0.0 24.11 0.0018048 0.651549 34.920355 0.44947 0.1940668  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
8960 16 16 0.0 0.0 24.16 0.0017617 0.4607083 32.1466394 0.4413402 0.1786887  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
9088 16 16 0.0 0.0 24.16 0.0017209 -0.2245231 29.9341803 0.4607462 0.1830008  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
9216 16 16 0.0 0.0 24.19 0.0017936 0.1023762 31.3458734 0.4438222 0.1792101  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
9344 16 16 0.0 0.0 24.24 0.0017519 0.0009756 30.0107461 0.4508018 0.2015264  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
9472 16 16 0.0 0.0 24.3 0.0017578 -0.0932952 32.7742816 0.4507105 0.2000883  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
9600 16 16 0.0 0.0 24.37 0.0017417 0.1924953 35.825988 0.4302872 0.1817425  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
9728 16 16 0.0 0.0 24.45 0.0017462 0.1837327 32.1657227 0.4376162 0.1846622  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
9856 17 17 0.0 0.0 24.51 0.00186 0.2733273 31.7928213 0.4298358 0.1966709  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
9984 18 18 0.0 0.0 24.58 0.001673 0.2672391 25.429239 0.4137915 0.17415  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
10112 18 18 0.0 0.0 24.64 0.0016176 0.292653 25.0499995 0.4084659 0.1664272  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
10240 18 18 0.0 0.0 24.7 0.001598 0.0767197 23.0913844 0.40028 0.1620384  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
10368 18 18 0.0 0.0 24.76 0.0015618 0.182972 19.8594844 0.38546 0.1557028  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
10496 18 18 0.0 0.0 24.82 0.0014808 0.1570601 19.2361075 0.3727578 0.150955  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
10624 18 18 0.0 0.0 24.86 0.0014712 0.1036177 17.7444397 0.3723717 0.1480208  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
10752 18 18 0.0 0.0 24.91 0.0013799 0.1078509 15.9117158 0.3554374 0.1349903  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
10880 18 18 0.0 0.0 24.91 0.0013399 0.2132585 18.4795464 0.346277 0.1249969  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
11008 19 19 0.0 0.0 24.93 0.0013084 0.1972413 19.0969144 0.340219 0.1359541  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
11136 19 19 0.0 0.0 24.95 0.0012162 0.5359129 19.3004751 0.3210314 0.1236417  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
11264 19 19 0.0 0.0 24.95 0.0012191 0.136629 14.7966371 0.3187455 0.1238217  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
11392 19 19 0.0 0.0 24.96 0.0011797 0.0458574 13.8164686 0.3213325 0.1185666  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
11520 19 19 0.0 0.0 24.96 0.0011643 0.0739594 15.4450097 0.3150187 0.1226083  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
11648 19 19 0.0 0.0 24.91 0.0011647 0.3975145 15.7851891 0.2995425 0.1223361  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
11776 19 19 0.0 0.0 24.87 0.0011535 0.2097749 11.2263466 0.2900382 0.1296306  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
11904 19 19 0.0 0.0 24.82 0.0011214 0.5033936 14.7359678 0.2857124 0.1241425  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
12032 20 20 0.0 0.0 24.79 0.0010843 0.3150739 12.1025169 0.2802089 0.1149048  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
12160 20 20 0.0 0.0 24.78 0.0010824 0.5078881 14.0651697 0.2779178 0.1195911  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
12288 20 20 0.0 0.0 24.74 0.001095 0.0183185 10.7270191 0.2866996 0.1298212  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
12416 20 20 0.0 0.0 24.68 0.0011118 0.3728464 13.0277899 0.2808489 0.1356503  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
12544 20 20 0.0 0.0 24.65 0.0010699 0.0730369 12.3516748 0.2800188 0.1272232  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
12672 20 20 0.0 0.0 24.62 0.0011102 0.1628575 12.4602241 0.2802817 0.1419442  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
12800 20 20 0.0 0.0 24.57 0.0011065 -0.0171084 11.4043553 0.2843768 0.1526852  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
12928 21 21 0.0 0.0 24.49 0.0011451 -0.1230318 14.7090484 0.3006678 0.1683598  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
13056 21 21 0.0 0.0 24.46 0.0011486 -0.2125378 12.0562224 0.2903073 0.1609787  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
13184 21 21 0.0 0.0 24.4 0.0011814 -0.0448573 13.7744843 0.2916185 0.1636058  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
13312 21 21 0.0 0.0 24.35 0.0011378 -0.2499635 11.2735907 0.2986125 0.1730109  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
13440 21 21 0.0 0.0 24.33 0.001221 -0.1488364 11.358954 0.2859207 0.1569887  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
13568 21 21 0.0 0.0 24.35 0.0011204 -0.0376662 10.708237 0.2816792 0.1611502  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
13696 21 21 0.0 0.0 24.35 0.0010345 0.2464897 10.9025229 0.2650847 0.1400775  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
13824 21 21 0.0 0.0 24.35 0.0010694 0.0506586 11.1408207 0.2704876 0.1540143  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
13952 22 22 0.0 0.0 24.39 0.0010588 0.0297763 11.9210794 0.2699756 0.153363  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
14080 22 22 0.0 0.0 24.43 0.0010516 0.0870137 11.4098859 0.2653516 0.1507207  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
14208 22 22 0.0 0.0 24.5 0.0010709 -0.1729714 11.0943798 0.2762119 0.1602612  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
14336 22 22 0.0 0.0 24.55 0.0010308 -0.1545732 8.9378746 0.2650017 0.1469953  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
14464 22 22 0.0 0.0 24.57 0.0010378 -0.1036677 10.7417643 0.2679795 0.150582  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
14592 22 22 0.0 0.0 24.6 0.0010179 -0.1670059 9.9976406 0.2624891 0.145616  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
14720 22 22 0.0 0.0 24.64 0.0010525 -0.2259765 9.6051201 0.2681902 0.1526865  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
14848 22 22 0.0 0.0 24.72 0.0010512 -0.0808509 11.9894911 0.2709177 0.1548023  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
14976 23 23 0.0 0.0 24.75 0.0010784 -0.1721448 12.0622087 0.2697776 0.1542514  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
15104 23 23 0.0 0.0 24.79 0.0010551 0.0360337 12.6051502 0.2712146 0.1581045  {'prev_level_seed': 1949448038, 'prev_level_complete': 0, 'level_seed': 1949448038, 'raw_score': 0.0, 'normalised_score': 0.0} 
